Paper 1 SPT-100

Voltage	Current	Power	Anode	Cathode	Total	Cathode	Thrust	Spcific	Effici	Facility
250 	3.50 	674 	4.17 	0.26 	4.43 	0.060 	57.4 	1320 	0.425 	0.0016
250 	3.25 	812 	3.89 	0.26 	4.16 	0.064 	52.4 	1290 	0.406 	0.0015
250 	2.98 	744 	3.61 	0.26 	3.87 	0.068 	47.5 	1250 	0.392 	0.0015
250 	4.31 	1080 	4.93 	0.26 	5.20 	0.051 	67.4 	1320 	0.406 	0.0019
250 	4.95 	1240 	5.53 	0.50 	6.03 	0.083 	83.7 	1410 	0.468 	0.0020
250 	4.75 	1190 	5.35 	0.50 	5.86 	0.086 	80.2 	1400 	0.462 	0.0019
250 	4.49 	1120 	5.12 	0.50 	5.62 	0.089 	76.2 	1380 	0.460 	0.0019
250 	4.24 	1060 	4.87 	0.50 	5.37 	0.094 	72.2 	1370 	0.457 	0.0018
250 	4.07 	1020 	4.71 	0.50	5.20 	0.095 	68.7 	1350 	0.446 	0.0018
250 	3.75 	938 	4.38 	0.50 	4.89 	0.10 	63.5 	1330 	0.441 	0.0017
250 	3.50 	874 	4.12 	0.50 	4.63 	0.11 	59.1 	1300 	0.431 	0.0016
250 	3.25 	812 	3.83 	0.50 	4.33 	0.11 	54.3 	1280 	0.420 	0.0015
250	3.01 	752 	3.58 	0.50 	4.07 	0.12 	50.0 	1250 	0.408 	0.0015
250 	4.07 	1020 	4.71 	0.50 	5.21 	0.10 	69.0 	1350 	0.449 	0.0018
201 	4.99 	1000 	5.51 	0.26 	5.78 	0.046 	62.5 	1100 	0.337 	0.0022
201	4.76 	955 	5.30 	0.26 	5.57 	0.047 	60.2 	1100 	0.341 	0.0022
201 	4.50 	903 	5.05 	0.26 	5.31 	0.049 	58.4 	1120 	0.355 	0.0021
201 	4.25 	853 	4.82 	0.26 	5.08 	0.051 	55.9 	1120 	0.362 	0.0019
201 	4.01 	805 	4.59 	0.26 	4.86 	0.054 	53.1 	1110 	0.360 	0.0019
201 	3.74 	751 	4.34 	0.26 	4.61 	0.057 	50.5 	1120 	0.368 	0.0018
201 	3.48 	698 	4.11 	0.26 	4.37 	0.060 	47.1 	1100 	0.364 	0.0017
201 	3.25 	652 	3.87 	0.26 	4.14 	0.064 	43.5 	1070 	0.351 	0.0016
201 	2.98 	598 	3.61 	0.26 	3.87 	0.068 	40.0 	1050 	0.345 	0.0015
201 	4.98 	998 	5.48 	0.50 	5.98 	0.083 	70.4 	1200 	0.416	0.0021
201 	4.73 	948 	5.25 	0.50 	5.74 	0.086 	67.3 	1190 	0.415 	0.0020
201 	4.49 	900 	5.05 	0.50 	5.54 	0.089 	64.1 	1180 	0.412 	0.0020
201 	4.24 	851 	4.81 	0.50 	5.31 	0.093 	60.7 	1170 	0.408 	0.0019
201 	3.98 	798 	4.58 	0.50 	5.07 	0.098 	57.4 	1150 	0.407 	0.0018
201 	3.75 	752 	4.36 	0.50 	4.85 	0.10 	54.2 	1140 	0.403 	0.0018
201 	3.49 	700 	4.08 	0.50 	4.57 	0.11 	50.1 	1120 	0.393 	0.0017
201 	3.25 	652 	3.83 	0.50 	4.33 	0.11 	46.5 	1200 	0.384 	0.0016
201	2.99 	599 	3.56 	0.50 	4.06 	0.12 	42.5 	1070 	0.371 	0.0015

Performance data showing effects of facility pressure

300 	4.51 	1350 	5.14 	0.26 	5.40 	0.048 	81.6 	1540 	0.456 	0.0016
300 	4.51 	1350 	5.13 	0.26 	5.39 	0.048 	85.2 	1610 	0.498 	0.0030
300 	4.53 	1360 	5.13 	0.26 	5.39 	0.048 	86.2 	1630 	0.506 	0.0036
300 	4.55 	1370 	5.13 	0.26 	5.39 	0.048 	87.0 	1640 	0.514 	0.0041
300 	4.69 	1410 	5.13 	0.26 	5.38 	0.048 	90.5 	1710 	0.540 	0.0057
301 	4.88 	1470 	5.13 	0.26 	5.38 	0.048 	80.1 	1520 	0.407	0.0065
301 	4.48 	1350 	4.71 	0.26 	4.97 	0.052 	73.8 	1510 	0.406 	0.0065
300 	4.25 	1280 	4.95 	0.26 	5.21 	0.050 	77.5 	1520 	0.453 	0.0017
300 	4.30 	1290 	4.94 	0.26 	5.20 	0.050 	78.0 	1530 	0.454 	0.0024
300 	4.37 	1310 	4.94 	0.26 	5.20 	0.050 	81.4 	1600 	0.486 	0.0030
300 	4.46 	1340 	4.94 	0.26 	5.20 	0.050 	80.8 	1580 	0.469 	0.0039
300 	4.72 	1420 	4.93 	0.26 	5.19 	0.050 	84.3 	1660 	0.483 	0.0057
300 	4.86 	1460 	4.93 	0.26 	5.19 	0.050 	85.8 	1680 	0.485 	0.0065
300 	5.05 	1520 	4.93 	0.26 	5.19 	0.050 	87.6 	1720 	0.487 	0.0078
300 	4.24 	1270 	4.93 	0.26 	5.19 	0.050 	76.8 	1510 	0.447 	0.0017

Performance data obtained in center of vacuum facility

301 	4.52 	1360 	5.09 	0.15 	5.23 	0.028 	72.6 	1420 	0.371 	0.00044
301 	4.50 	1350 	5.12 	0.15 	5.26 	0.028	77.5 	1500 	0.422 	0.0016
301 	4.52 	1360 	5.12 	0.15 	5.26 	0.028 	79.5 	1540 	0.442 	0.0026
300 	4.55 	1370 	5.12 	0.15 	5.26 	0.028 	81.0 	1570 	0.456 	0.0033
300 	4.59 	1380 	5.12 	0.15 	5.26 	0.028 	82.6 	1600 	0.473 	0.0041
300 	4.59 	1380 	5.04 	0.15 	5.19 	0.028 	84.3 	1660 	0.498 	0.0056
300 	4.51 	1350 	4.98 	0.15 	5.13 	0.028 	82.7 	1650 	0.493 	0.0052
300 	4.65 	1400 	5.12 	0.15 	5.27 	0.028 	85.7 	1660 	0.500 	0.0052
300 	4.57 	1370 	5.11 	0.15 	5.25 	0.028 	73.9 	1430 	0.379 	0.00043
301 	4.76 	1430 	5.15 	0.15 	5.30 	0.029 	72.6 	1400 	0.347 	0.00045
301 	4.52 	1360 	4.94 	0.15 	5.09 	0.030 	69.2 	1380 	0.345 	0.00042
301 	4.27 	1290 	4.72 	0.15 	4.87 	0.031 	63.8 	1340 	0.325 	0.00041
301 	3.98 	1200 	4.46 	0.15 	4.61 	0.033 	61.5 	1360 	0.341 	0.00041
301 	3.48 	1050 	3.99 	0.15 	4.14 	0.037 	56.8 	1400 	0.371 	0.00038
300 	3.26 	979 	3.76 	0.15 	3.91 	0.039 	55.2 	1440 	0.397 	0.00035
301 	2.99 	899 	3.46 	0.15 	3.61 	0.042 	51.6 	1460 	0.410 	0.00033
301 	4.75 	1430 	5.25 	0.38 	5.63 	0.067 	90.1 	1630 	0.505 	0.00045
301 	4.49 	1350 	4.99 	0.38 	5.37 	0.070 	84.9 	1610 	0.498 	0.00043
301 	4.26 	1280 	4.76 	0.38 	5.13 	0.073	80.0 	1590 	0.487	0.00042
301 	4.00 	1200 	4.52 	0.38 	4.90 	0.077 	75.1 	1560 	0.479 	0.00040
301 	3.76 	1130 	4.25 	0.38 	4.62 	0.081 	70.1 	1550 	0.470 	0.00039
301 	3.49 	1050 	3.95 	0.38 	4.33 	0.087 	64.4 	1520 	0.457 	0.00037
301 	3.27 	983 	3.71 	0.38 	4.08 	0.092 	59.5 	1490 	0.441 	0.00035

Performance after 90 h of operation

299 	4.51 	1350 	4.94 	0.37 	5.31 	0.070 	85.4 	1640 	0.508 	0.0016
300 	4.54 	1360 	4.93 	0.37 	5.30 	0.070 	86.1 	1660 	0.515 	0.0025
300 	4.55 	1360 	4.92 	0.37 	5.29 	0.070 	86.3 	1660 	0.516	0.0028
300 	4.58 	1370 	4.93 	0.37 	5.30 	0.070	86.2 	1660 	0.512 	0.0030
300 	4.57 	1370 	4.92 	0.37 	5.29 	0.070 	87.0 	1680 	0.523 	0.0032
300 	4.60 	1380 	4.92 	0.37 	5.29 	0.070 	86.9 	1670 	0.518 	0.0035
299 	4.76 	1430 	5.19 	0.38 	5.56 	0.068 	88.7 	1630 	0.497 	0.0016
299 	4.46 	1340 	4.92 	0.37 	5.29 	0.070	84.0 	1620 	0.500 	0.0016
300 	4.00 	1200 	4.46 	0.36 	4.82 	0.075 	75.3 	1590 	0.490 	0.0015
300 	3.50 	1050 	3.93 	0.38 	4.32 	0.089 	64.9 	1530 	0.465 	0.0014
300 	3.23 	969 	3.52 	0.38 	3.90 	0.098 	50.2 	1310 	0.334 	0.0014
300 	4.47 	1340 	4.92 	0.38 	5.29 	0.071 	84.0 	1620 	0.498 	0.0016
300 	4.44 	1330 	4.92 	0.15 	5.07 	0.030 	72.2 	1450 	0.386 	0.0017
299 	4.49 	1340	4.97 	0.22 	5.20 	0.043 	81.3 	1590 	0.473 	0.0016
299	4.50 	1350 	4.97 	0.29 	5.26 	0.055 	83.5 	1620 	0.492 	0.0016
300 	4.50 	1350 	4.96 	0.38 	5.33 	0.070 	83.8 	1600 	0.489 	0.0016
299 	4.53 	1360 	4.97 	0.44 	5.41 	0.082 	85.2 	1600 	0.494 	0.0016
300 	4.58 	1370 	4.96 	0.68 	5.65 	0.12 	86.8 	1570 	0.486 	0.0016
300 	4.48 	1340 	4.86 	0.69 	5.55 	0.12 	84.5 	1550 	0.479 	0.0016

Paper 2 SPT-140

Voltage	Current	Power	Anode	Cathode	Total	Cathode	Thrust	Spcific	Effici	Facility
			Flow	Flow	Flow	Fractin		Impulse	ency	Pressure
V	A	W	mg/s	mg/s	mg/s		mN	s		Pa

Experimental Data taken at LeRC during this investigation

250	15.4	3850	15.5 	2.0 	17.5	N/A	251	1464	0.47 	0.00051
250	15.4	3850	15.5 	2.0 	17.5	N/A	251	1464	0.47 	0.00051
248	15.7	3894	15.5 	2.0 	17.5	N/A	251	1464 	0.46 	0.00051
246	16 	3937	15.5 	2.0 	17.5	N/A	251	1461 	0.46 	0.00051
298	15.4	4589	15.8 	2.0 	17.8	N/A	287	1647 	0.50 	0.00051
300	15.4	4620	15.8 	0.7 	16.5	N/A	270	1670 	0.48 	0.00047
298	15.3	4561	15.7 	0.7 	16.4	N/A	264	1645 	0.47 	0.00047
300	12.5	3752	13.2 	0.7 	13.9	N/A	221	1617 	0.47 	0.0004
300	12.5	3750	12.9 	0.7 	13.6	N/A	215	1614 	0.45 	0.00039
300	12.5	3758	13.2 	0.7 	13.9	N/A	217	1597 	0.45 	0.0004
399	12.5	4989	13.2 	0.7 	13.9	N/A	263	1929	0.50 	0.0004
351	12.46	4375	13.3 	0.7 	14.0	N/A	246	1790 	0.49 	0.0004
251	12.51	3142	13.1 	0.7 	13.8	N/A	191	1409 	0.42 	0.0004
300	15	4502	15.4 	0.7 	16.2	N/A	260	1641 	0.46 	0.00047
300	10.02	3008	10.7 	0.7 	11.4	N/A	177	1579 	0.46 	0.00033
300	5.04	1514	5.4 	0.7 	6.1	N/A	87	1449 	0.41 	0.00017
240	14	3360	14.0 	0.7 	14.7	N/A	198	1371 	0.40 	0.00043
220	15.35	3377	15.0 	0.7 	15.8	N/A	201	1302 	0.38 	0.00045
197.2	17.25	3402	15.6 	0.7 	16.3	N/A	189	1181 	0.32 	0.00047
180.2	19.2	3460	16.4 	0.7 	17.1	N/A	184	1099 	0.29 	0.00049
160	21.1	3376	17.5 	0.7 	18.2	N/A	175	979 	0.25 	0.00052
148.4	23.2	3446	19.7	0.7 	20.4	N/A	185	925 	0.24 	0.00059
			

340	10	3400	10.4 	0.7 	11.1    N/A	187 	1717	0.46	0.00813
200	17 	3400	16.8 	0.7 	17.5    N/A	239 	1392	0.48	0.01187
170	20	3400	19.1 	0.7 	19.8    N/A	242 	1246	0.43	0.00133
155	21.9	3395	21.0 	0.7 	21.7    N/A 	246 	1156	0.41	0.00147

Paper 3 SPT-200

Voltage	Current	Power	Anode	Cathode	Total	Cathode	Thrust	Spcific	Effici	Facility
			Flow	Flow	Flow	Fractin		Impulse	ency	Pressure
V	A	W	mg/s	mg/s	mg/s		mN	s		Pa

300 	10.0 	3000  	10.2 	0.55  			185.35 	1758 	0.52	<= 0.06399
250 	10.2 	2562 	10.2 	0.55 			171.62 	1628 	0.52
200 	10.3 	2060 	10.2 	0.55 			150.04 	1423 	0.50
300 	10.1 	3030 	10.2 	0.55 			184.37 	1749 	0.51
350 	10.3 	3605  	10.2 	0.55 			200.06 	1898 	0.51
400 	10.4 	4160  	10.2 	0.55 			213.78 	2028 	0.50
450 	10.6 	4770 	10.2 	0.55 			229.48 	2177 	0.50
500 	10.6 	5300 	10.2 	0.55 			248.11 	2354 	0.53
300 	10.1 	3045 	10.2 	0.55 			185.35 	1758 	0.51
300 	10.0 	3000 	10.3 	0.55 			185.35 	1742 	0.52
300 	12.5 	3750 	12.6 	0.55 			229.48 	1780 	0.53
200 	12.9 	2580 	12.6 	0.55 			183.38 	1422 	0.48
300 	12.5 	3750 	12.6 	0.55 			230.46 	1787 	0.53
400 	12.8 	5120 	12.6 	0.55 			270.66	2099 	0.54
500 	12.7 	6350 	12.6 	0.55 			308.91 	2395 	0.56
300 	12.5 	3750 	12.6 	0.55 			230.56 	1787 	0.53
300 	12.6 	3765 	12.6 	0.55 			229.48 	1780 	0.52
300 	15.0 	4500 	15.0 	0.55 			278.51 	1826 	0.55
200 	15.6 	3120 	15.0 	0.55 			220.65 	1447 	0.49
300 	15.0 	4500 	15.0 	0.55 			279.49 	1833 	0.55
400 	15.3 	6120	15.0 	0.55 			328.52 	2154 	0.56
500 	15.8 	7900 	15.0 	0.55 			378.54 	2482 	0.58
300 	15.0 	4500 	15.0 	0.55 			279.49 	1833 	0.55
300 	15.0 	4500 	15.0 	0.55 			278.51 	1826 	0.55
300 	17.5 	5250 	17.0 	0.55 			327.54 	1903 	0.57
200 	18.4 	3680 	17.0 	0.55 			260.86 	1516 	0.51
300 	17.4 	5220 	17.0 	0.55 			329.5 	1914 	0.58
400 	18.3 	7320 	17.0 	0.55 			375.59 	2182 	0.54
500 	17.0 	8500	17.0 	0.55 			427.57 	2484 	0.54
300 	17.6 	5280 	17.0 	0.55 			329.5 	1914 	0.58
300 	17.5 	5250 	17.7 	0.55 			327.54 	1830 	0.55
300 	20.0	6000 	20.0 	0.55 			375.59	1866 	0.56
200 	21.6 	4320 	20.0 	0.55 			302.04 	1501 	0.50
400 	21.0 	8400 	20.0 	0.55 			437.38 	2174 	0.55
500 	21.5 	10750 	20.0 	0.55 			477.58 	2373 	0.51
300 	20.1 	6030 	20.0 	0.55 			383.44 	1906 	0.58
300 	10.0 	3000	10.1 	0.55 			184.37 	1765 	0.52
600 	10.0 	6000 	10.1 	0.55 			275.57 	2638 	0.59
300 	12.5 	3750 	12.7 	0.55 			229.48	1766 	0.52
500 	12.7 	6350 	12.7 	0.55 			308.91 	2377 	0.56
600 	13.1 	7860 	12.7 	0.55 			346.17 	2664 	0.57
300 	15.0 	4500	15.1 	0.55 			281.45 	1834 	0.55
400 	15.4 	6160 	15.1 	0.55 			331.46 	2160 	0.56
600 	16.1 	9660 	15.1 	0.55 			422.67 	2754 	0.59
300 	15.0 	4500 	14.4 	0.55 			285.37 	1943 	0.60
300 	17.4 	5220 	16.3 	0.55 			327.54 	1979 	0.60
600 	18.4 	11040 	16.3 	0.55 			488.37 	2950 	0.63
300 	17.4 	5220 	16.8 	0.55 			328.52 	1928 	0.59
300 	20.0 	6000 	19.5 	0.55 			377.56 	1917 	0.58
500 	21.8 	10900 	19.5 	0.55 			485.43 	2465 	0.53
600 	22.0 	13200 	19.5 	0.55 			552.11 	2804 	0.57
300 	20.5 	6150 	19.5 	0.55 			386.38 	1962 	0.60
300 	8.0 	2400 	8.0 	0.55 			135.33 	1614 	0.44
600 	8.2 	4920	8.0 	0.55 			207.9 	2980 	0.50
